"","subid","group","shockCond","reps","resp","H","SM","dprime","c"
"188","ap151","stress","safe","4","outdoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"189","ap151","stress","threat","2","indoor",0.0238095238095238,0.0294117647058824,-0.0912424363138484,1.93513117849035
"190","ap151","stress","threat","2","outdoor",0.0294117647058824,0.0238095238095238,0.0912424363138484,1.93513117849035
"191","ap151","stress","threat","4","indoor",0.0263157894736842,0.025,0.0220324736872253,1.94894774769644
"192","ap151","stress","threat","4","outdoor",0.05,0.0263157894736842,0.293077883901356,1.79139256890215
"193","ap152","stress","safe","2","indoor",0.238095238095238,0.0238095238095238,1.26830936425779,1.34659771451838
"194","ap152","stress","safe","2","outdoor",0.142857142857143,0.0476190476190476,0.600820670068937,1.36798085891261
"195","ap152","stress","safe","4","indoor",0.0952380952380952,0.0238095238095238,0.671580679861501,1.64496205671653
"196","ap152","stress","safe","4","outdoor",0.476190476190476,0.0952380952380952,1.24945461700045,0.68444440828555
"197","ap152","stress","threat","2","indoor",0.157894736842105,0.0526315789473684,0.616708290975736,1.3115021131504
"198","ap152","stress","threat","2","outdoor",0.263157894736842,0.105263157894737,0.618479519485519,0.94287976052246
"199","ap152","stress","threat","4","indoor",0.35,0.05,1.25953316054391,1.01508704667952
"200","ap152","stress","threat","4","outdoor",0.45,0.05,1.5191922800964,0.885257486903273
"201","ap153","stress","safe","2","indoor",0.0952380952380952,0.0952380952380952,0,1.30917171678578
"202","ap153","stress","safe","2","outdoor",0.0952380952380952,0.0476190476190476,0.359219477161302,1.48878145536643
"203","ap153","stress","safe","4","indoor",0.380952380952381,0.0952380952380952,1.00619126872957,0.806076082420992
"204","ap153","stress","safe","4","outdoor",0.285714285714286,0.142857142857143,0.501621701945279,0.816759672905502
"205","ap153","stress","threat","2","indoor",0.05,0.0588235294117647,-0.0801271555896741,1.60479004915664
"206","ap153","stress","threat","2","outdoor",0.117647058823529,0.05,0.458022194195655,1.41584252985365
"207","ap153","stress","threat","4","indoor",0.238095238095238,0.0277777777777778,1.20206279266607,1.31347442872252
"208","ap153","stress","threat","4","outdoor",0.388888888888889,0.142857142857143,0.785354376815634,0.674893335470325
"209","ap154","stress","safe","2","indoor",0.142857142857143,0.105263157894737,0.184548996387078,1.15984502207168
"210","ap154","stress","safe","2","outdoor",0.210526315789474,0.0952380952380952,0.504575336425477,1.05688404857304
"211","ap154","stress","safe","4","indoor",0.428571428571429,0.0952380952380952,1.12915934699307,0.744592043289241
"212","ap154","stress","safe","4","outdoor",0.285714285714286,0.0952380952380952,0.743222894852914,0.93756026935932
"213","ap154","stress","threat","2","indoor",0.285714285714286,0.0526315789473684,1.05390743670541,1.09290254028557
"214","ap154","stress","threat","2","outdoor",0.157894736842105,0.0238095238095238,0.977604428984745,1.49195018215491
"215","ap154","stress","threat","4","indoor",0.476190476190476,0.105263157894737,1.1924024204799,0.655918310025271
"216","ap154","stress","threat","4","outdoor",0.263157894736842,0.0476190476190476,1.03475119316738,1.15101559736339
"217","ap155","stress","safe","2","indoor",0.333333333333333,0.142857142857143,0.636843224582684,0.7491489115868
"218","ap155","stress","safe","2","outdoor",0.333333333333333,0.0476190476190476,1.23766389465162,1.04955924662127
"219","ap155","stress","safe","4","indoor",0.285714285714286,0.142857142857143,0.501621701945279,0.816759672905502
"220","ap155","stress","safe","4","outdoor",0.333333333333333,0.0952380952380952,0.87844441749032,0.869949508040617
"221","ap155","stress","threat","2","indoor",0.142857142857143,0.153846153846154,-0.04749429109194,1.04382337833217
"222","ap155","stress","threat","2","outdoor",0.153846153846154,0.142857142857143,0.04749429109194,1.04382337833217
"223","ap155","stress","threat","4","indoor",0.272727272727273,0.0714285714285714,0.860648446102285,1.03490956963438
"224","ap155","stress","threat","4","outdoor",0.285714285714286,0.0909090909090909,0.769228914186073,0.9505632790259
"225","ap156","stress","safe","2","indoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"226","ap156","stress","safe","2","outdoor",0.0238095238095238,0.0238095238095238,0,1.98075239664728
"227","ap156","stress","safe","4","indoor",0.0238095238095238,0.142857142857143,-0.913181872769137,1.52416146026271
"228","ap156","stress","safe","4","outdoor",0.0238095238095238,0.0238095238095238,0,1.98075239664728
"229","ap156","stress","threat","2","indoor",0.105263157894737,0.0952380952380952,0.0570521965205577,1.2806456185255
"230","ap156","stress","threat","2","outdoor",0.0238095238095238,0.0526315789473684,-0.360896138009009,1.80030432764277
"231","ap156","stress","threat","4","indoor",0.166666666666667,0.15,0.069011823392088,1.00192747779775
"232","ap156","stress","threat","4","outdoor",0.025,0.0555555555555556,-0.366745166517004,1.77659140128155
"233","ap157","stress","safe","2","indoor",0.19047619047619,0.142857142857143,0.191427674631301,0.971856686562491
"234","ap157","stress","safe","2","outdoor",0.0952380952380952,0.0952380952380952,0,1.30917171678578
"235","ap157","stress","safe","4","indoor",0.619047619047619,0.142857142857143,1.37055097193435,0.382295037910968
"236","ap157","stress","safe","4","outdoor",0.285714285714286,0.0476190476190476,1.10244237201422,1.11717000793997
"237","ap157","stress","threat","2","indoor",0.222222222222222,0.142857142857143,0.302860850091754,0.916140098832264
"238","ap157","stress","threat","2","outdoor",0.142857142857143,0.0277777777777778,0.846935301177415,1.49103817446685
"239","ap157","stress","threat","4","indoor",0.45,0.05,1.5191922800964,0.885257486903273
"240","ap157","stress","threat","4","outdoor",0.6,0.1,1.5348986686804,0.514102231204401
"241","ap158","control","safe","2","indoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"242","ap158","control","safe","2","outdoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"243","ap158","control","safe","4","indoor",0.0952380952380952,0.0238095238095238,0.671580679861501,1.64496205671653
"244","ap158","control","safe","4","outdoor",0.142857142857143,0.0476190476190476,0.600820670068937,1.36798085891261
"245","ap158","control","threat","2","indoor",0.0238095238095238,0.0238095238095238,0,1.98075239664728
"246","ap158","control","threat","2","outdoor",0.0952380952380952,0.0238095238095238,0.671580679861501,1.64496205671653
"247","ap158","control","threat","4","indoor",0.0476190476190476,0.0238095238095238,0.3123612027002,1.82457179529718
"248","ap158","control","threat","4","outdoor",0.142857142857143,0.0238095238095238,0.913181872769137,1.52416146026271
"249","ap159","stress","safe","2","indoor",0.19047619047619,0.0238095238095238,1.10460954740044,1.42844762294706
"250","ap159","stress","safe","2","outdoor",0.380952380952381,0.142857142857143,0.764590075821935,0.685275485967174
"251","ap159","stress","safe","4","indoor",0.285714285714286,0.025,1.39401516260719,1.26295640323646
"252","ap159","stress","safe","4","outdoor",0.6,0.19047619047619,1.12948995238264,0.311397873055521
"253","ap159","stress","threat","2","indoor",0.210526315789474,0.0238095238095238,1.17615601628698,1.39267438850379
"254","ap159","stress","threat","2","outdoor",0.238095238095238,0.0263157894736842,1.22548847846334,1.32518727162116
"255","ap159","stress","threat","4","indoor",0.19047619047619,0.05,0.768710777704632,1.26049823809916
"256","ap159","stress","threat","4","outdoor",0.4,0.0952380952380952,1.05582461364998,0.781259409960789
"257","ap160","stress","safe","2","indoor",0.428571428571429,0.35,0.205308096614863,0.282666418100136
"258","ap160","stress","safe","2","outdoor",0.2,0.0952380952380952,0.467550483212863,1.07539647517935
"259","ap160","stress","safe","4","indoor",0.476190476190476,0.333333333333333,0.371010199510135,0.24522219954039
"260","ap160","stress","safe","4","outdoor",0.19047619047619,0.0238095238095238,1.10460954740044,1.42844762294706
