"","subid","group","shockCond","reps","hits","olds","fas","news","hitRate","faRate","halfHit","halfFA","crRate","dprime","c"
"133","ap161","stress","safe","2",36,42,21,42,0.857142857142857,0.5,0.0119047619047619,0.0119047619047619,0.5,1.06757052387814,-0.533785261939071
"134","ap161","stress","threat","2",29,39,20,39,0.743589743589744,0.512820512820513,0.0128205128205128,0.0128205128205128,0.487179487179487,0.622310407404665,-0.343296997029671
"135","ap161","stress","safe","4",38,41,21,42,0.926829268292683,0.5,0.0121951219512195,0.0119047619047619,0.5,1.452576180812,-0.726288090406002
"136","ap161","stress","threat","4",37,39,20,39,0.948717948717949,0.512820512820513,0.0128205128205128,0.0128205128205128,0.487179487179487,1.60040617251901,-0.832344879586843
"137","ap162","stress","safe","2",40,42,35,42,0.952380952380952,0.833333333333333,0.0119047619047619,0.0119047619047619,0.166666666666667,0.700969627845377,-1.31790638002439
"138","ap162","stress","threat","2",32,37,22,39,0.864864864864865,0.564102564102564,0.0135135135135135,0.0128205128205128,0.435897435897436,0.941061324280926,-0.631909704874702
"139","ap162","stress","safe","4",39,41,35,42,0.951219512195122,0.833333333333333,0.0121951219512195,0.0119047619047619,0.166666666666667,0.689373199714279,-1.31210816595884
"140","ap162","stress","threat","4",37,41,22,39,0.902439024390244,0.564102564102564,0.0121951219512195,0.0128205128205128,0.435897435897436,1.13419594436345,-0.728477014915963
"141","ap163","stress","safe","2",33,42,1,42,0.785714285714286,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.976190476190476,2.77239100439065,0.594556894451952
"142","ap163","stress","threat","2",36,41,5,39,0.878048780487805,0.128205128205128,0.0121951219512195,0.0128205128205128,0.871794871794872,2.30020460769017,-0.0151856858515957
"143","ap163","stress","safe","4",41,41,1,42,0.98780487804878,0.0238095238095238,0.0121951219512195,0.0119047619047619,0.976190476190476,4.23167809315007,-0.135086649927758
"144","ap163","stress","threat","4",36,37,5,39,0.972972972972973,0.128205128205128,0.0135135135135135,0.0128205128205128,0.871794871794872,3.06131977095747,-0.395743267485246
"145","ap164","stress","safe","2",39,42,37,42,0.928571428571429,0.880952380952381,0.0119047619047619,0.0119047619047619,0.119047619047619,0.285472675073662,-1.32249745514869
"146","ap164","stress","threat","2",39,40,32,40,0.975,0.8,0.0125,0.0125,0.2,1.11834275096714,-1.40079260905648
"147","ap164","stress","safe","4",42,42,37,42,0.988095238095238,0.880952380952381,0.0119047619047619,0.0119047619047619,0.119047619047619,1.08042787371752,-1.71997505447062
"148","ap164","stress","threat","4",37,38,32,40,0.973684210526316,0.8,0.0131578947368421,0.0125,0.2,1.09631027727991,-1.38977637221287
"149","ap165","stress","safe","2",35,42,10,42,0.833333333333333,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.67986459849119,-0.127489266856106
"150","ap165","stress","threat","2",29,39,11,39,0.743589743589744,0.282051282051282,0.0128205128205128,0.0128205128205128,0.717948717948718,1.2312107652398,-0.0388468181121028
"151","ap165","stress","safe","4",35,42,10,42,0.833333333333333,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.67986459849119,-0.127489266856106
"152","ap165","stress","threat","4",31,40,11,39,0.775,0.282051282051282,0.0125,0.0128205128205128,0.717948717948718,1.33217359086827,-0.0893282309263356
"153","ap166","stress","safe","2",34,42,9,42,0.80952380952381,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,1.66778145699022,-0.0422521207517332
"154","ap166","stress","threat","2",32,40,12,39,0.8,0.307692307692308,0.0125,0.0128205128205128,0.692307692307692,1.34402345694627,-0.16960950509978
"155","ap166","stress","safe","4",39,41,9,42,0.951219512195122,0.214285714285714,0.0121951219512195,0.0119047619047619,0.785714285714286,2.44843337355935,-0.432578079036303
