,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1829,itemhit_lo,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,-600.793579102,control
1830,itemhit_lo,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,-425.066131592,control
1858,sourcemiss_hi,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,88.7202606201,control
1859,sourcemiss_hi,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,449.97869873,control
1887,M,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,-677.09765625,control
1888,M,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,-638.970153809,control
1916,CR,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,31.2046394348,control
1917,CR,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,39.3406791687,control
1945,FA,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,48.151550293,control
1946,FA,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,117.135986328,control
1974,sourcehit,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,188.323791504,control
1975,sourcehit,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,244.352218628,control
2003,itemhit_lo,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,-5.49547576904,control
2004,itemhit_lo,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,131.217910767,control
2032,sourcemiss_hi,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,151.400924683,control
2033,sourcemiss_hi,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,233.127151489,control
2061,M,lh,78.0,epi,hippocampus-head,unsmoothed,ap113,-175.944992065,control
2062,M,rh,87.0,epi,hippocampus-head,unsmoothed,ap113,-75.3173522949,control
2090,CR,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,54.1621704102,control
2091,CR,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,62.6651802063,control
2119,FA,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,-158.404953003,control
2120,FA,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,-274.406860352,control
2148,sourcehit,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,506.904205322,control
2149,sourcehit,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,371.95111084,control
2177,itemhit_lo,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,-58.3245887756,control
2178,itemhit_lo,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,-31.7523803711,control
2206,sourcemiss_hi,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,829.662109375,control
2207,sourcemiss_hi,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,887.478881836,control
2235,M,lh,69.0,epi,hippocampus-head,unsmoothed,ap114,154.657318115,control
2236,M,rh,72.0,epi,hippocampus-head,unsmoothed,ap114,-55.7161483765,control
2264,CR,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,-453.889587402,control
2265,CR,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,-300.156280518,control
2293,FA,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,-355.878936768,control
2294,FA,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,-215.914169312,control
2322,sourcehit,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,274.560913086,control
2323,sourcehit,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,164.435119629,control
2351,itemhit_lo,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,-591.164794922,control
2352,itemhit_lo,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,-462.158996582,control
2380,sourcemiss_hi,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,-298.721557617,control
2381,sourcemiss_hi,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,80.529914856,control
2409,M,lh,66.0,epi,hippocampus-head,unsmoothed,ap115,-803.387756348,control
2410,M,rh,60.0,epi,hippocampus-head,unsmoothed,ap115,-805.343139648,control
2438,CR,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,-244.149414062,control
2439,CR,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,-328.787261963,control
2467,FA,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,-384.386749268,control
2468,FA,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,36.2032089233,control
2496,sourcehit,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,153.486297607,control
2497,sourcehit,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,213.324737549,control
2525,itemhit_lo,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,-148.135681152,control
2526,itemhit_lo,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,133.290405273,control
2554,sourcemiss_hi,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,-118.781112671,control
2555,sourcemiss_hi,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,-4.3119225502,control
2583,M,lh,68.0,epi,hippocampus-head,unsmoothed,ap116,-840.045410156,control
2584,M,rh,82.0,epi,hippocampus-head,unsmoothed,ap116,-904.639892578,control
2612,CR,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,-206.829910278,control
2613,CR,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,-125.397209167,control
2641,FA,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,-510.577514648,control
2642,FA,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,-117.03150177,control
2670,sourcehit,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,266.861114502,control
2671,sourcehit,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,366.371520996,control
2699,itemhit_lo,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,-209.288146973,control
2700,itemhit_lo,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,-331.344085693,control
2728,sourcemiss_hi,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,-69.0804672241,control
2729,sourcemiss_hi,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,-40.5883865356,control
2757,M,lh,78.0,epi,hippocampus-head,unsmoothed,ap117,-197.791717529,control
2758,M,rh,81.0,epi,hippocampus-head,unsmoothed,ap117,-295.371520996,control
2786,CR,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,-535.505554199,control
2787,CR,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,-528.30670166,control
2815,FA,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,-123.125923157,control
2816,FA,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,-32.6198425293,control
2844,sourcehit,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,638.217102051,control
2845,sourcehit,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,540.309082031,control
2873,itemhit_lo,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,-325.119995117,control
2874,itemhit_lo,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,-346.797332764,control
2902,sourcemiss_hi,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,29.8336219788,control
2903,sourcemiss_hi,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,85.1100845337,control
2931,M,lh,70.0,epi,hippocampus-head,unsmoothed,ap118,-221.027587891,control
2932,M,rh,69.0,epi,hippocampus-head,unsmoothed,ap118,-284.828643799,control
2960,CR,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-1436.95690918,control
2961,CR,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-1532.95837402,control
2989,FA,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-1178.67126465,control
2990,FA,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-580.112365723,control
3018,sourcehit,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-542.165283203,control
3019,sourcehit,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-487.441162109,control
3047,itemhit_lo,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-1316.19091797,control
3048,itemhit_lo,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-1077.42541504,control
3076,sourcemiss_hi,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-820.702087402,control
3077,sourcemiss_hi,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-763.927429199,control
3105,M,lh,55.0,epi,hippocampus-head,unsmoothed,ap119,-1242.34082031,control
3106,M,rh,66.0,epi,hippocampus-head,unsmoothed,ap119,-1482.66687012,control
3134,CR,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,168.825210571,control
3135,CR,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,-17.0157184601,control
3163,FA,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,-176.326324463,control
3164,FA,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,-241.275878906,control
3192,sourcehit,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,422.754669189,control
3193,sourcehit,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,177.374481201,control
3221,itemhit_lo,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,-322.634033203,control
3222,itemhit_lo,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,-582.296203613,control
3250,sourcemiss_hi,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,-601.487243652,control
3251,sourcemiss_hi,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,-488.809020996,control
3279,M,lh,71.0,epi,hippocampus-head,unsmoothed,ap120,-409.411376953,control
3280,M,rh,75.0,epi,hippocampus-head,unsmoothed,ap120,-361.974700928,control
3308,CR,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,587.143066406,control
3309,CR,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,376.761383057,control
3337,FA,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,166.726425171,control
3338,FA,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,48.1779747009,control
3366,sourcehit,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,-233.471252441,control
3367,sourcehit,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,-224.376937866,control
3395,itemhit_lo,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,200.643661499,control
3396,itemhit_lo,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,174.050292969,control
3424,sourcemiss_hi,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,-172.191833496,control
3425,sourcemiss_hi,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,-29.2629795074,control
3453,M,lh,74.0,epi,hippocampus-head,unsmoothed,ap121,136.140090942,control
3454,M,rh,73.0,epi,hippocampus-head,unsmoothed,ap121,-283.718353271,control
3482,CR,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,-871.310058594,control
3483,CR,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,-698.022155762,control
3511,FA,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,-424.093109131,control
3512,FA,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,-526.350158691,control
3540,sourcehit,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,106.751228333,control
3541,sourcehit,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,48.9503631592,control
3569,itemhit_lo,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,248.803970337,control
