,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
3752,itemhit_lo,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,439.203521729,stress
3780,sourcemiss_hi,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,2649.06713867,stress
3781,sourcemiss_hi,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,1626.09973145,stress
3809,M,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,-435.583557129,stress
3810,M,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,-144.377288818,stress
3838,CR,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,-669.854125977,stress
3839,CR,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-1396.47351074,stress
3867,FA,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,-119.545059204,stress
3868,FA,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-1336.08276367,stress
3896,sourcehit,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,968.309326172,stress
3897,sourcehit,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-262.150115967,stress
3925,itemhit_lo,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,-82.8162307739,stress
3926,itemhit_lo,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-1220.6003418,stress
3954,sourcemiss_hi,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,-758.516540527,stress
3955,sourcemiss_hi,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-2236.24682617,stress
3983,M,lh,42.0,epi,DefaultC_Rsp,unsmoothed,ap152,-524.574462891,stress
3984,M,rh,40.0,epi,DefaultC_Rsp,unsmoothed,ap152,-942.02557373,stress
4012,CR,lh,46.0,epi,DefaultC_Rsp,unsmoothed,ap153,-395.120422363,stress
4013,CR,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap153,-337.1378479,stress
4041,FA,lh,46.0,epi,DefaultC_Rsp,unsmoothed,ap153,-567.800720215,stress
4042,FA,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap153,-54.6312904358,stress
