,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2330,sourcehit,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,318.434112549,control
2331,sourcehit,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,468.34942627,control
2359,itemhit_lo,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,-1459.79528809,control
2360,itemhit_lo,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,-1148.95019531,control
2388,sourcemiss_hi,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,667.97454834,control
2389,sourcemiss_hi,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,595.293334961,control
2417,M,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,-2238.12963867,control
2418,M,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,-2417.07714844,control
2446,CR,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,-276.553375244,control
2447,CR,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,-697.481689453,control
2475,FA,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,552.553710938,control
2476,FA,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,1067.20556641,control
2504,sourcehit,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,1144.41296387,control
2505,sourcehit,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,1226.13757324,control
2533,itemhit_lo,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,462.238952637,control
2534,itemhit_lo,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,-657.922180176,control
2562,sourcemiss_hi,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,1663.93347168,control
2563,sourcemiss_hi,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,1704.57702637,control
2591,M,lh,33.0,epi,DefaultC_Rsp,unsmoothed,ap116,-388.390869141,control
2592,M,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap116,-1178.08325195,control
2620,CR,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,-622.329284668,control
2621,CR,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,-883.033691406,control
2649,FA,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,-639.892028809,control
2650,FA,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,-641.566467285,control
2678,sourcehit,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,730.305419922,control
2679,sourcehit,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,946.842041016,control
2707,itemhit_lo,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,-288.432342529,control
2708,itemhit_lo,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,-164.393814087,control
2736,sourcemiss_hi,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,115.792144775,control
2737,sourcemiss_hi,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,212.677932739,control
2765,M,lh,41.0,epi,DefaultC_Rsp,unsmoothed,ap117,-1008.91235352,control
2766,M,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap117,-1303.22949219,control
2794,CR,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,-1138.86010742,control
2795,CR,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,-854.53302002,control
2823,FA,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,445.305450439,control
2824,FA,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,-4.88440942764,control
