,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
3079,sourcemiss_hi,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-244.895553589,control
3107,M,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-1091.49768066,control
3108,M,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-1028.66369629,control
3136,CR,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,-94.4245300293,control
3137,CR,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,-57.4833030701,control
3165,FA,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,-810.293395996,control
3166,FA,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,-1099.70458984,control
3194,sourcehit,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,215.881774902,control
3195,sourcehit,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,73.1940383911,control
3223,itemhit_lo,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,-537.136169434,control
3224,itemhit_lo,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,-776.944091797,control
3252,sourcemiss_hi,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,-434.517272949,control
3253,sourcemiss_hi,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,-744.755554199,control
3281,M,lh,44.0,epi,hippocampus-body,unsmoothed,ap120,-323.46661377,control
3282,M,rh,41.0,epi,hippocampus-body,unsmoothed,ap120,-418.295959473,control
3310,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,901.94329834,control
3311,CR,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,560.687866211,control
3339,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,438.669006348,control
3340,FA,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,223.1381073,control
3368,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,71.0854797363,control
3369,sourcehit,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,-157.948532104,control
3397,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,390.486206055,control
3398,itemhit_lo,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,372.551574707,control
3426,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,-31.5049552917,control
3427,sourcemiss_hi,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,-146.464111328,control
3455,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap121,473.158782959,control
3456,M,rh,35.0,epi,hippocampus-body,unsmoothed,ap121,460.028686523,control
3484,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,-651.116882324,control
3485,CR,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,-771.339355469,control
3513,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,-515.014526367,control
3514,FA,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,-678.630310059,control
3542,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,145.104064941,control
3543,sourcehit,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,147.888397217,control
3571,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,-37.0394744873,control
3572,itemhit_lo,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,-235.807327271,control
3600,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,-603.108764648,control
3601,sourcemiss_hi,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,-230.86151123,control
3629,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap122,-404.277801514,control
3630,M,rh,31.0,epi,hippocampus-body,unsmoothed,ap122,185.432312012,control
3658,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,-362.287475586,stress
3659,CR,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,-404.845367432,stress
3687,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,-414.412109375,stress
3688,FA,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,-547.604675293,stress
3716,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,7.57991027832,stress
3717,sourcehit,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,188.263305664,stress
3745,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,-583.775939941,stress
3746,itemhit_lo,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,-742.351745605,stress
3774,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,-1240.71069336,stress
3775,sourcemiss_hi,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,-811.80255127,stress
3803,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap150,-815.256713867,stress
3804,M,rh,24.0,epi,hippocampus-body,unsmoothed,ap150,-153.216629028,stress
3832,CR,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,232.453567505,stress
3833,CR,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,122.633483887,stress
3861,FA,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,68.1322784424,stress
3862,FA,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,-84.8237533569,stress
3890,sourcehit,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,826.249816895,stress
3891,sourcehit,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,837.26184082,stress
3919,itemhit_lo,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,240.568511963,stress
3920,itemhit_lo,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,102.239044189,stress
3948,sourcemiss_hi,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,-529.292114258,stress
3949,sourcemiss_hi,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,-356.505432129,stress
3977,M,lh,40.0,epi,hippocampus-body,unsmoothed,ap152,242.379180908,stress
3978,M,rh,37.0,epi,hippocampus-body,unsmoothed,ap152,52.7249565125,stress
4006,CR,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,-154.569656372,stress
4007,CR,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,-264.579833984,stress
4035,FA,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,-273.733917236,stress
4036,FA,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,-139.095214844,stress
4064,sourcehit,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,-30.3892173767,stress
4065,sourcehit,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,-459.132751465,stress
4093,itemhit_lo,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,80.9361877441,stress
4094,itemhit_lo,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,-93.6505661011,stress
4122,sourcemiss_hi,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,-109.223358154,stress
4123,sourcemiss_hi,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,28.614074707,stress
4151,M,lh,34.0,epi,hippocampus-body,unsmoothed,ap153,-99.873626709,stress
4152,M,rh,32.0,epi,hippocampus-body,unsmoothed,ap153,-434.914001465,stress
4180,CR,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,-450.354217529,stress
4181,CR,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,-351.581207275,stress
4209,FA,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,-824.619445801,stress
4210,FA,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,-776.607666016,stress
4238,sourcehit,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,-189.628555298,stress
4239,sourcehit,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,-129.03012085,stress
4267,itemhit_lo,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,-287.38168335,stress
4268,itemhit_lo,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,-493.845245361,stress
4296,sourcemiss_hi,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,336.470794678,stress
4297,sourcemiss_hi,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,360.038574219,stress
4325,M,lh,39.0,epi,hippocampus-body,unsmoothed,ap154,-62.665851593,stress
4326,M,rh,30.0,epi,hippocampus-body,unsmoothed,ap154,-80.82056427,stress
