,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2204,sourcemiss_hi,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,955.988220215,control
2205,sourcemiss_hi,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,1688.37219238,control
2233,M,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,-383.740234375,control
2234,M,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,466.853759766,control
2262,CR,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,-399.36541748,control
2263,CR,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,-734.018005371,control
2291,FA,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,-310.03414917,control
2292,FA,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,-613.913208008,control
2320,sourcehit,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,214.120040894,control
2321,sourcehit,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,247.828079224,control
2349,itemhit_lo,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,-508.740814209,control
2350,itemhit_lo,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,-748.226989746,control
2378,sourcemiss_hi,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,109.758895874,control
2379,sourcemiss_hi,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,-89.5448455811,control
2407,M,lh,31.0,epi,hippocampus-tail,unsmoothed,ap115,-693.09942627,control
2408,M,rh,37.0,epi,hippocampus-tail,unsmoothed,ap115,-1104.06494141,control
2436,CR,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,80.8329315186,control
2437,CR,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,439.255096436,control
2465,FA,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,300.908203125,control
2466,FA,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,1305.68994141,control
2494,sourcehit,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,479.034667969,control
