,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2037,sourcemiss_hi,rh,169.0,epi,hippocampus,unsmoothed,ap113,321.625701904,control
2038,sourcemiss_hi,bilat,326.0,epi,hippocampus,unsmoothed,ap113,341.146606445,control
2065,M,lh,157.0,epi,hippocampus,unsmoothed,ap113,-68.3918380737,control
2066,M,rh,169.0,epi,hippocampus,unsmoothed,ap113,-82.9133453369,control
2067,M,bilat,326.0,epi,hippocampus,unsmoothed,ap113,-75.9198532104,control
2094,CR,lh,130.0,epi,hippocampus,unsmoothed,ap114,116.7474823,control
2095,CR,rh,126.0,epi,hippocampus,unsmoothed,ap114,178.336380005,control
2096,CR,bilat,256.0,epi,hippocampus,unsmoothed,ap114,147.060760498,control
2123,FA,lh,130.0,epi,hippocampus,unsmoothed,ap114,-123.877342224,control
2124,FA,rh,126.0,epi,hippocampus,unsmoothed,ap114,-101.295730591,control
2125,FA,bilat,256.0,epi,hippocampus,unsmoothed,ap114,-112.762954712,control
2152,sourcehit,lh,130.0,epi,hippocampus,unsmoothed,ap114,533.782531738,control
2153,sourcehit,rh,126.0,epi,hippocampus,unsmoothed,ap114,533.78692627,control
2154,sourcehit,bilat,256.0,epi,hippocampus,unsmoothed,ap114,533.784667969,control
2181,itemhit_lo,lh,130.0,epi,hippocampus,unsmoothed,ap114,-19.1448707581,control
2182,itemhit_lo,rh,126.0,epi,hippocampus,unsmoothed,ap114,-38.0096740723,control
2183,itemhit_lo,bilat,256.0,epi,hippocampus,unsmoothed,ap114,-28.429901123,control
2210,sourcemiss_hi,lh,130.0,epi,hippocampus,unsmoothed,ap114,749.475280762,control
2211,sourcemiss_hi,rh,126.0,epi,hippocampus,unsmoothed,ap114,848.731506348,control
2212,sourcemiss_hi,bilat,256.0,epi,hippocampus,unsmoothed,ap114,798.32800293,control
2239,M,lh,130.0,epi,hippocampus,unsmoothed,ap114,52.5349693298,control
2240,M,rh,126.0,epi,hippocampus,unsmoothed,ap114,74.9471282959,control
2241,M,bilat,256.0,epi,hippocampus,unsmoothed,ap114,63.5659561157,control
2268,CR,lh,130.0,epi,hippocampus,unsmoothed,ap115,-505.037017822,control
2269,CR,rh,144.0,epi,hippocampus,unsmoothed,ap115,-517.806274414,control
2270,CR,bilat,274.0,epi,hippocampus,unsmoothed,ap115,-511.747833252,control
2297,FA,lh,130.0,epi,hippocampus,unsmoothed,ap115,-374.757080078,control
2298,FA,rh,144.0,epi,hippocampus,unsmoothed,ap115,-413.005126953,control
2299,FA,bilat,274.0,epi,hippocampus,unsmoothed,ap115,-394.85824585,control
2326,sourcehit,lh,130.0,epi,hippocampus,unsmoothed,ap115,283.049530029,control
2327,sourcehit,rh,144.0,epi,hippocampus,unsmoothed,ap115,191.709640503,control
2328,sourcehit,bilat,274.0,epi,hippocampus,unsmoothed,ap115,235.046096802,control
2355,itemhit_lo,lh,130.0,epi,hippocampus,unsmoothed,ap115,-579.921386719,control
2356,itemhit_lo,rh,144.0,epi,hippocampus,unsmoothed,ap115,-575.036560059,control
2357,itemhit_lo,bilat,274.0,epi,hippocampus,unsmoothed,ap115,-577.354187012,control
2384,sourcemiss_hi,lh,130.0,epi,hippocampus,unsmoothed,ap115,-169.053070068,control
2385,sourcemiss_hi,rh,144.0,epi,hippocampus,unsmoothed,ap115,-140.891525269,control
2386,sourcemiss_hi,bilat,274.0,epi,hippocampus,unsmoothed,ap115,-154.252853394,control
2413,M,lh,130.0,epi,hippocampus,unsmoothed,ap115,-861.40234375,control
2414,M,rh,144.0,epi,hippocampus,unsmoothed,ap115,-1025.52148438,control
2415,M,bilat,274.0,epi,hippocampus,unsmoothed,ap115,-947.654724121,control
2442,CR,lh,97.0,epi,hippocampus,unsmoothed,ap116,-140.904602051,control
2443,CR,rh,146.0,epi,hippocampus,unsmoothed,ap116,-154.543487549,control
2444,CR,bilat,243.0,epi,hippocampus,unsmoothed,ap116,-149.09916687,control
2471,FA,lh,97.0,epi,hippocampus,unsmoothed,ap116,-168.3878479,control
2472,FA,rh,146.0,epi,hippocampus,unsmoothed,ap116,452.549865723,control
2473,FA,bilat,243.0,epi,hippocampus,unsmoothed,ap116,204.685836792,control
2500,sourcehit,lh,97.0,epi,hippocampus,unsmoothed,ap116,289.784484863,control
2501,sourcehit,rh,146.0,epi,hippocampus,unsmoothed,ap116,372.909240723,control
2502,sourcehit,bilat,243.0,epi,hippocampus,unsmoothed,ap116,339.727752686,control
2529,itemhit_lo,lh,97.0,epi,hippocampus,unsmoothed,ap116,-93.5562591553,control
2530,itemhit_lo,rh,146.0,epi,hippocampus,unsmoothed,ap116,195.608978271,control
2531,itemhit_lo,bilat,243.0,epi,hippocampus,unsmoothed,ap116,80.1808700562,control
2558,sourcemiss_hi,lh,97.0,epi,hippocampus,unsmoothed,ap116,57.3252258301,control
2559,sourcemiss_hi,rh,146.0,epi,hippocampus,unsmoothed,ap116,-0.794196128845,control
2560,sourcemiss_hi,bilat,243.0,epi,hippocampus,unsmoothed,ap116,22.4057350159,control
2587,M,lh,97.0,epi,hippocampus,unsmoothed,ap116,-602.234680176,control
2588,M,rh,146.0,epi,hippocampus,unsmoothed,ap116,-802.621032715,control
2589,M,bilat,243.0,epi,hippocampus,unsmoothed,ap116,-722.631408691,control
2616,CR,lh,143.0,epi,hippocampus,unsmoothed,ap117,-190.997177124,control
2617,CR,rh,142.0,epi,hippocampus,unsmoothed,ap117,-127.547180176,control
2618,CR,bilat,285.0,epi,hippocampus,unsmoothed,ap117,-159.383499146,control
2645,FA,lh,143.0,epi,hippocampus,unsmoothed,ap117,-454.129394531,control
2646,FA,rh,142.0,epi,hippocampus,unsmoothed,ap117,-240.191925049,control
2647,FA,bilat,285.0,epi,hippocampus,unsmoothed,ap117,-347.535980225,control
2674,sourcehit,lh,143.0,epi,hippocampus,unsmoothed,ap117,301.361907959,control
2675,sourcehit,rh,142.0,epi,hippocampus,unsmoothed,ap117,352.687927246,control
2676,sourcehit,bilat,285.0,epi,hippocampus,unsmoothed,ap117,326.934906006,control
2703,itemhit_lo,lh,143.0,epi,hippocampus,unsmoothed,ap117,-259.106689453,control
2704,itemhit_lo,rh,142.0,epi,hippocampus,unsmoothed,ap117,-351.099700928,control
2705,itemhit_lo,bilat,285.0,epi,hippocampus,unsmoothed,ap117,-304.941833496,control
2732,sourcemiss_hi,lh,143.0,epi,hippocampus,unsmoothed,ap117,-144.123184204,control
2733,sourcemiss_hi,rh,142.0,epi,hippocampus,unsmoothed,ap117,-142.192779541,control
2734,sourcemiss_hi,bilat,285.0,epi,hippocampus,unsmoothed,ap117,-143.161376953,control
2761,M,lh,143.0,epi,hippocampus,unsmoothed,ap117,-188.952194214,control
2762,M,rh,142.0,epi,hippocampus,unsmoothed,ap117,-332.378723145,control
2763,M,bilat,285.0,epi,hippocampus,unsmoothed,ap117,-260.413848877,control
2790,CR,lh,131.0,epi,hippocampus,unsmoothed,ap118,-578.302856445,control
2791,CR,rh,131.0,epi,hippocampus,unsmoothed,ap118,-568.08203125,control
2792,CR,bilat,262.0,epi,hippocampus,unsmoothed,ap118,-573.192382812,control
2819,FA,lh,131.0,epi,hippocampus,unsmoothed,ap118,-249.828857422,control
