,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1985,sourcehit,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,132.730865479,control
2013,itemhit_lo,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,1122.21386719,control
2014,itemhit_lo,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,268.278625488,control
2042,sourcemiss_hi,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,1455.25183105,control
2043,sourcemiss_hi,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,32.7546424866,control
2071,M,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,125.483863831,control
2072,M,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,-721.629394531,control
2100,CR,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,304.182556152,control
2101,CR,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,212.798370361,control
2129,FA,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,49.5581474304,control
2130,FA,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,-282.692504883,control
2158,sourcehit,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,681.524963379,control
2159,sourcehit,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,611.847229004,control
2187,itemhit_lo,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,513.967407227,control
2188,itemhit_lo,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,269.778961182,control
2216,sourcemiss_hi,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,264.691314697,control
2217,sourcemiss_hi,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,708.403259277,control
2245,M,lh,1378.0,epi,frontoparietal,unsmoothed,ap114,-549.360107422,control
2246,M,rh,1783.0,epi,frontoparietal,unsmoothed,ap114,-387.302032471,control
2274,CR,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,-738.19708252,control
2275,CR,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-571.983459473,control
2303,FA,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,123.120353699,control
2304,FA,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-420.781646729,control
2332,sourcehit,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,1176.12219238,control
2333,sourcehit,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-34.9873046875,control
2361,itemhit_lo,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,187.25793457,control
2362,itemhit_lo,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-608.363586426,control
2390,sourcemiss_hi,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,597.551513672,control
2391,sourcemiss_hi,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-157.686294556,control
2419,M,lh,1476.0,epi,frontoparietal,unsmoothed,ap115,-933.235412598,control
2420,M,rh,1618.0,epi,frontoparietal,unsmoothed,ap115,-1023.81854248,control
2448,CR,lh,1647.0,epi,frontoparietal,unsmoothed,ap116,-258.80090332,control
2449,CR,rh,1861.0,epi,frontoparietal,unsmoothed,ap116,-454.511688232,control
2477,FA,lh,1647.0,epi,frontoparietal,unsmoothed,ap116,2028.76379395,control
2478,FA,rh,1861.0,epi,frontoparietal,unsmoothed,ap116,198.859359741,control
