,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
4290,itemhit_lo,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-1171.34973145,stress
4319,sourcemiss_hi,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-496.015777588,stress
4348,M,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-1510.88427734,stress
4377,CR,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-367.813751221,stress
4406,FA,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-485.607513428,stress
4435,sourcehit,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-132.308822632,stress
4464,itemhit_lo,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-203.902572632,stress
4493,sourcemiss_hi,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-639.945068359,stress
4522,M,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap155,-2117.28222656,stress
4551,CR,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-2238.35668945,stress
4580,FA,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-2159.82910156,stress
4609,sourcehit,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-1125.3894043,stress
4638,itemhit_lo,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-2343.90014648,stress
4667,sourcemiss_hi,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-1855.90966797,stress
4696,M,lh,144.0,epi,DefaultA_IPL,unsmoothed,ap157,-1766.12329102,stress
4725,CR,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-1552.94592285,control
4754,FA,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-1551.83496094,control
4783,sourcehit,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-1688.56640625,control
4812,itemhit_lo,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-968.386962891,control
4841,sourcemiss_hi,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-1934.90722656,control
4870,M,lh,136.0,epi,DefaultA_IPL,unsmoothed,ap158,-1327.75964355,control
4899,CR,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,-510.83215332,stress
4928,FA,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,2518.96923828,stress
4957,sourcehit,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,-648.234680176,stress
4986,itemhit_lo,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,-1010.96697998,stress
5015,sourcemiss_hi,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,31.4887428284,stress
5044,M,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap159,-831.02166748,stress
5073,CR,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,-1274.19995117,stress
5102,FA,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,741.087524414,stress
5131,sourcehit,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,606.42199707,stress
5160,itemhit_lo,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,258.608551025,stress
5189,sourcemiss_hi,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,1666.26672363,stress
5218,M,lh,75.0,epi,DefaultA_IPL,unsmoothed,ap160,-991.144470215,stress
5247,CR,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-2038.40380859,stress
5276,FA,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-1513.61413574,stress
5305,sourcehit,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-2145.49194336,stress
5334,itemhit_lo,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-1490.29907227,stress
5363,sourcemiss_hi,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-1832.59716797,stress
5392,M,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap161,-3618.16308594,stress
5421,CR,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,576.300231934,stress
5450,FA,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,-26.1617927551,stress
5479,sourcehit,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,-1421.14355469,stress
5508,itemhit_lo,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,601.983825684,stress
5537,sourcemiss_hi,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,518.350036621,stress
5566,M,lh,139.0,epi,DefaultA_IPL,unsmoothed,ap162,780.252685547,stress
5595,CR,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap164,-2818.2578125,stress
5624,FA,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap164,-558.844116211,stress
5653,sourcehit,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap164,982.973815918,stress
5682,itemhit_lo,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap164,22.1889743805,stress
